episode,reward,epsilon,success
1,-1.32,1.0,0
2,-1.05,0.9986851023262121,0
3,-1.27,0.9973719336083168,0
4,-1.3800000000000001,0.9960604915729139,0
5,-1.14,0.9947507739495927,0
6,-1.25,0.9934427784709277,0
7,-1.7100000000000004,0.9921365028724749,0
8,-1.29,0.9908319448927678,0
9,-1.27,0.9895291022733136,0
10,-1.07,0.988227972758589,0
11,-1.29,0.9869285540960366,0
12,-1.5600000000000003,0.9856308440360609,0
13,-1.1099999999999999,0.9843348403320243,0
14,-1.1,0.9830405407402434,0
15,-1.08,0.9817479430199848,0
16,-1.33,0.9804570449334618,0
17,-1.23,0.9791678442458298,0
18,-1.07,0.9778803387251831,0
19,9.59,0.9765945261425504,1
20,-1.08,0.9753104042718915,0
21,-1.17,0.9740279708900933,0
22,-1.3800000000000001,0.9727472237769655,0
23,-1.4800000000000002,0.9714681607152376,0
24,-1.19,0.9701907794905541,0
25,-1.14,0.9689150778914715,0
26,-1.19,0.967641053709454,0
27,-1.6100000000000003,0.9663687047388697,0
28,-1.15,0.9650980287769871,0
29,-1.3900000000000001,0.963829023623971,0
30,-1.32,0.9625616870828786,0
31,-1.35,0.9612960169596559,0
32,-1.15,0.9600320110631341,0
33,-1.1,0.9587696672050252,0
34,-1.37,0.957508983199919,0
35,9.7,0.9562499568652784,1
36,-1.4100000000000001,0.9549925860214364,0
37,-2.390000000000001,0.9537368684915921,0
38,-1.26,0.9524828021018068,0
39,-1.4300000000000002,0.9512303846810002,0
40,-1.32,0.9499796140609468,0
41,-1.4200000000000002,0.9487304880762721,0
42,-1.5800000000000003,0.947483004564449,0
43,-1.13,0.9462371613657936,0
44,-1.3900000000000001,0.944992956323462,0
45,-1.18,0.9437503872834464,0
46,-1.1,0.9425094520945709,0
47,-1.4100000000000001,0.9412701486084887,0
48,-1.4700000000000002,0.9400324746796774,0
49,-1.1,0.9387964281654361,0
50,-1.25,0.937562006925881,0
51,-1.21,0.9363292088239422,0
52,-1.09,0.93509803172536,0
53,-1.07,0.9338684734986806,0
54,-1.5300000000000002,0.9326405320152533,0
55,-1.1099999999999999,0.9314142051492261,0
56,-1.7700000000000005,0.9301894907775424,0
57,-1.06,0.928966386779937,0
58,-1.7300000000000004,0.927744891038933,0
59,-1.31,0.9265250014398373,0
60,-1.08,0.9253067158707378,0
61,-1.4100000000000001,0.924090032222499,0
62,-1.5000000000000002,0.922874948388759,0
63,-1.4500000000000002,0.9216614622659256,0
64,9.26,0.9204495717531722,1
65,-1.15,0.9192392747524349,0
66,-1.13,0.9180305691684085,0
67,-1.13,0.9168234529085428,0
68,-1.33,0.9156179238830392,0
69,-1.37,0.9144139800048469,0
